generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
17,33,78,3,96,6
17,34,92,4,96,6
17,35,43,4,96,6
17,36,95,4,96,6
17,37,93,3,96,6
17,38,95,3,96,6
17,39,91,3,96,6
17,40,95,3,96,6
17,41,95,3,96,6
17,42,91,3,96,6
17,43,84,3,96,6
17,44,90,3,96,6
17,45,88,6,96,6
17,46,94,6,96,6
17,47,84,4,96,6
17,48,18,5,96,6
17,49,72,5,96,6
18,0,96,6,96,7
18,1,95,5,96,7
18,2,95,5,96,7
18,3,10,6,96,7
18,4,96,6,96,7
18,5,92,5,96,7
18,6,95,8,96,7
18,7,94,6,96,7
18,8,94,5,96,7
18,9,93,8,96,7
18,10,89,4,96,7
18,11,94,5,96,7
18,12,87,5,96,7
18,13,90,5,96,7
18,14,84,4,96,7
18,15,86,6,96,7
18,16,94,5,96,7
18,17,91,5,96,7
18,18,95,6,96,7
18,19,93,5,96,7
18,20,95,4,96,7
18,21,93,3,96,7
18,22,92,5,96,7
18,23,80,5,96,7
18,24,94,3,96,7
18,25,88,3,96,7
18,26,90,3,96,7
18,27,86,6,96,7
18,28,81,3,96,7
18,29,92,3,96,7
18,30,9,5,96,7
18,31,90,3,96,7
18,32,90,7,96,7
18,33,90,5,96,7
18,34,93,7,96,7
18,35,92,3,96,7
18,36,83,7,96,7
18,37,95,3,96,7
18,38,89,7,96,7
18,39,95,7,96,7
18,40,90,4,96,7
18,41,94,4,96,7
18,42,93,4,96,7
18,43,11,3,96,7
18,44,93,4,96,7
18,45,95,6,96,7
18,46,94,3,96,7
18,47,71,8,96,7
18,48,94,5,96,7
18,49,96,3,96,7
19,0,95,7,96,6
19,1,82,5,96,6
19,2,89,5,96,6
19,3,95,5,96,6
19,4,94,4,96,6
19,5,94,4,96,6
19,6,95,5,96,6
19,7,57,5,96,6
19,8,94,6,96,6
19,9,64,5,96,6
19,10,94,5,96,6
19,11,95,5,96,6
19,12,91,7,96,6
19,13,94,5,96,6
19,14,94,6,96,6
19,15,95,4,96,6
19,16,89,6,96,6
19,17,91,5,96,6
19,18,10,5,96,6
19,19,59,5,96,6
19,20,95,4,96,6
19,21,92,4,96,6
19,22,82,5,96,6
19,23,88,4,96,6
19,24,90,3,96,6
19,25,88,3,96,6
19,26,92,3,96,6
19,27,10,7,96,6
19,28,90,4,96,6
19,29,92,4,96,6
19,30,92,3,96,6
19,31,90,7,96,6
19,32,92,5,96,6
19,33,95,5,96,6
19,34,96,3,96,6
19,35,94,4,96,6
19,36,85,4,96,6
19,37,94,3,96,6
19,38,93,4,96,6
19,39,54,4,96,6
19,40,87,5,96,6
19,41,81,6,96,6
19,42,94,5,96,6
19,43,92,4,96,6
19,44,95,3,96,6
19,45,88,4,96,6
19,46,89,4,96,6
19,47,91,3,96,6
19,48,94,3,96,6
19,49,95,4,96,6
20,0,95,6,96,6
20,1,93,7,96,6
20,2,89,6,96,6
20,3,94,4,96,6
20,4,95,5,96,6
20,5,93,6,96,6
20,6,93,5,96,6
20,7,95,5,96,6
20,8,92,5,96,6
20,9,96,5,96,6
20,10,94,4,96,6
20,11,95,6,96,6
20,12,94,6,96,6
20,13,87,7,96,6
20,14,95,6,96,6
20,15,89,4,96,6
20,16,94,4,96,6
20,17,94,5,96,6
20,18,90,5,96,6
20,19,95,4,96,6
20,20,94,6,96,6
20,21,93,6,96,6
20,22,93,6,96,6
20,23,89,6,96,6
20,24,81,9,96,6
20,25,93,4,96,6
20,26,91,6,96,6
20,27,92,4,96,6
20,28,94,9,96,6
20,29,16,6,96,6
20,30,94,7,96,6
20,31,93,4,96,6
20,32,91,4,96,6
20,33,95,3,96,6
20,34,92,3,96,6
20,35,84,4,96,6
20,36,93,4,96,6
20,37,93,5,96,6
20,38,95,5,96,6
20,39,94,3,96,6
20,40,94,5,96,6
20,41,94,7,96,6
20,42,90,4,96,6
20,43,93,4,96,6
20,44,95,4,96,6
20,45,94,4,96,6
20,46,94,4,96,6
20,47,95,5,96,6
20,48,91,5,96,6
20,49,11,3,96,6
21,0,96,6,96,6
21,1,87,5,96,6
21,2,94,5,96,6
21,3,94,6,96,6
21,4,90,5,96,6
21,5,94,4,96,6
21,6,79,5,96,6
21,7,95,7,96,6
21,8,95,4,96,6
21,9,94,4,96,6
21,10,94,4,96,6
21,11,92,4,96,6
21,12,92,5,96,6
21,13,90,4,96,6
21,14,92,6,96,6
21,15,78,5,96,6
21,16,94,6,96,6
21,17,94,4,96,6
21,18,10,4,96,6
21,19,93,6,96,6
21,20,95,5,96,6
21,21,94,4,96,6
21,22,56,4,96,6
21,23,94,5,96,6
21,24,94,4,96,6
21,25,90,6,96,6
21,26,91,4,96,6
21,27,94,5,96,6
21,28,92,4,96,6
21,29,96,4,96,6
21,30,95,4,96,6
21,31,93,6,96,6
21,32,92,4,96,6
21,33,94,5,96,6
21,34,93,3,96,6
21,35,74,5,96,6
21,36,81,3,96,6
21,37,94,4,96,6
21,38,94,4,96,6
21,39,92,4,96,6
21,40,91,6,96,6
21,41,91,6,96,6
21,42,93,6,96,6
21,43,94,5,96,6
21,44,93,5,96,6
21,45,94,5,96,6
21,46,94,4,96,6
21,47,90,3,96,6
21,48,53,3,96,6
21,49,93,3,96,6
22,0,95,6,96,5
22,1,96,5,96,5
22,2,56,5,96,5
22,3,94,6,96,5
22,4,92,6,96,5
22,5,96,5,96,5
22,6,95,6,96,5
22,7,94,6,96,5
22,8,28,6,96,5
22,9,11,5,96,5
22,10,94,5,96,5
22,11,40,5,96,5
22,12,95,4,96,5
22,13,94,4,96,5
22,14,94,5,96,5
22,15,78,4,96,5
22,16,40,6,96,5
22,17,93,6,96,5
22,18,36,6,96,5
22,19,94,4,96,5
22,20,94,5,96,5
22,21,95,4,96,5
